query_id,query_size,query_num_token,num_result,duration,preproc_duration,num_set_read,num_list_read,num_byte_read,max_set_size_read,max_list_size_read,max_counter_size,max_ignore_size,actions,results,benefit_cost,lsh_duration,lsh_precision
582750,35,33,10,185,1,8,26,0,989,96162,43,9,,s2695943o31s582653o23s2695965o22s2696422o13s581652o13s580691o12s2696432o12s583905o9s1220473o6s2552948o5,,0,0
1080536,5,5,10,100,0,0,5,0,0,53585,0,1,,s1378167o5s830181o5s1080532o5s2034800o5s1080521o5s1893122o5s1463684o5s827871o5s1080522o5s829257o5,,0,0
909514,61,61,10,305,1,12,58,0,1418,53585,659,37,,s284241o53s1125947o40s1019638o36s2007893o34s448514o33s646025o30s1721074o30s1252665o28s1207740o27s447449o27,,0,0
776496,9,9,10,222,1,0,9,0,0,53585,0,1,,s1563433o9s1276880o9s2553731o9s1276882o9s913144o9s577718o8s1134581o8s1483002o8s1438743o8s2354935o8,,0,0
949818,11,11,10,307,0,0,11,0,0,53585,0,1,,s1061264o11s2635295o11s1448696o11s1626050o11s1603545o11s212810o11s1420985o11s2048334o11s949807o11s2007893o11,,0,0
1185500,80,79,10,249,1,54,42,0,958,363,107,108,,s716960o77s618318o77s1599769o77s1074764o77s2617057o77s2553731o77s740765o77s593762o75s2455969o75s1927531o74,,0,0
1307571,9,9,10,124,0,0,9,0,0,53585,0,1,,s2421025o8s2420353o8s2420359o8s2420352o8s2420363o8s2421024o7s2420371o7s2420368o7s2428015o7s2428019o7,,0,0
1173591,11,11,10,197,1,0,11,0,0,96162,0,1,,s1950128o11s2127935o11s1946358o11s1946772o11s1950187o11s1954031o11s2127934o10s1946379o10s1955784o10s1950560o10,,0,0
582750,35,35,10,363,1,14,35,0,152,53585,13093,357,,s2553731o35s2614927o34s740765o34s994318o34s618318o34s1800753o34s2691244o33s2205910o33s1074764o33s2121346o33,,0,0
1443235,100,100,10,542,2,19,100,0,905,96162,8939,4974,,s1555780o37s531222o36s2552o34s1079716o32s472186o31s497644o28s664852o27s781060o25s1213105o25s691379o24,,0,0
584228,31,31,10,328,1,10,31,0,126,53585,15478,499,,s584231o31s740765o30s2553731o30s2205910o30s2331631o30s1805785o30s571225o29s1074764o29s1699626o29s1599769o29,,0,0
1465370,12,12,10,187,1,0,6,0,0,96162,0,1,,s701356o12s1532879o3s500681o2s1485403o2s1534818o2s456990o2s1154673o1s2192062o1s1888261o1s2464095o1,,0,0
1173589,11,11,10,300,1,0,11,0,0,53585,0,1,,s609155o11s1011939o11s948887o11s1621464o11s715196o11s1768591o11s695717o10s1339094o10s1771947o10s600685o10,,0,0
1033406,15,15,10,265,1,0,15,0,0,78907,0,1,,s1800724o14s615865o14s784838o14s1800720o14s1800753o14s1489812o14s754185o14s944947o14s786364o14s1489789o14,,0,0
624750,12,12,10,166,1,0,12,0,0,53585,0,1,,s758388o11s2617057o11s571666o10s1491587o10s571664o10s2553731o10s1561508o9s1599769o9s571048o9s571225o9,,0,0
1307570,9,9,10,191,1,0,9,0,0,96162,0,1,,s461719o8s1635838o5s394405o4s1471776o4s858678o4s1797216o4s1599123o3s236784o3s1002244o2s316968o2,,0,0
1471780,9,9,10,113,1,0,9,0,0,53585,0,1,,s814589o8s2421040o7s2421025o7s2421652o7s2421049o7s2421032o7s2420364o7s2420352o7s2428011o7s2428019o7,,0,0
